722.9461059570312, 1498.46142578125, 479.2901916503906 | Heading: 290.4731140136719 | OnFoot
636.7252197265625, 823.0601196289062, 357.82171630859375 | Heading: 184.94985961914062 | OnFoot
402.879150390625, -996.3197021484375, -99.000244140625 | Heading: 177.04360961914062 | OnFoot
402.7104797363281, -996.4524536132812, -99.38720703125 | Heading: 177.0436248779297 | OnFoot
402.77825927734375, -999.3675537109375, -99.00411224365234 | Heading: 0.6588217616081238 | OnFoot
402.8759460449219, -996.4746704101562, -99.000244140625 | Heading: 179.9095916748047 | OnFoot
-198.1119384765625, -790.554931640625, 30.454011917114258 | Heading: 247.14468383789062 | OnFoot
-196.78907775878906, -790.80029296875, 30.45402717590332 | Heading: 248.19944763183594 | OnFoot
444.1231994628906, -984.30810546875, 30.68960189819336 | Heading: 232.36956787109375 | OnFoot
-332.6128234863281, -2792.645263671875, 5.000238418579102 | Heading: 70.71265411376953 | OnFoot
